col_date,col_mois,col_saison,col_mode_transport,col_ville,col_capacite_places,col_capacite_debout,col_capacite_totale,col_taux_occupation_moyen,col_voyageurs_moyen,col_voyageurs_max,col_nb_services_jour,col_km_parcourus_mensuel,col_source
2024-02-19 00:00:00,8.26,4.75,Transilien,Nantes,50,800,5,3.6,5.68,4.33,2.92,5.05,RATP_Open_Data_2024
2024-04-20 00:00:00,2.97,2.49,RER,Strasbourg,350,120,5,5.22,4.39,5.62,4.62,6.83,RATP_Open_Data_2024
2024-07-21 00:00:00,4.8,8.72,TER,Nantes,350,50,350,5.11,8.02,6.86,3.72,7.18,RATP_Open_Data_2024
2024-11-30 00:00:00,8.48,4.39,RER,Paris,800,350,50,5.81,2.1,1.75,2.86,6.11,Airparif
2024-04-24 00:00:00,4.45,1.43,Métro,Nice,5,120,5,7.69,8.68,6.91,5.11,2.2,Airparif
2024-11-27 00:00:00,4.72,5.25,TER,Lyon,50,50,350,2.27,4.21,3.63,2.44,6.09,Data.gouv.fr
2024-02-21 00:00:00,7.74,2.29,RER,Bordeaux,5,50,5,7.95,6.6,1.8,1.97,7.49,Airparif
2024-05-14 00:00:00,8.65,4.05,TER,Strasbourg,800,800,50,2.88,4.34,4.76,6.91,3.08,RATP_Open_Data_2024
2024-11-26 00:00:00,4.14,4.36,Métro,Marseille,800,350,800,2.77,6.19,5.33,5.64,7.07,Data.gouv.fr
2024-02-15 00:00:00,8.61,7.97,RER,Strasbourg,350,350,5,3.12,1.45,3.56,2.98,5.28,RATP_Open_Data_2024
2024-04-02 00:00:00,2.26,7.46,TER,Nice,800,5,50,5.74,5.76,1.82,8.17,6.02,RATP_Open_Data_2024
2024-05-23 00:00:00,7.52,8.3,RER,Bordeaux,5,350,5,6.54,5.8,2.52,4.93,8.41,Météo-France
2024-09-30 00:00:00,8.49,6.34,Bus RATP,Paris,5,50,800,4.04,3.54,7.22,7.6,6.13,Météo-France
2024-11-14 00:00:00,5.64,3.63,Bus RATP,Lyon,120,5,800,2.04,7.35,7.23,1.69,7.14,SNCF_Open_Data
2024-09-19 00:00:00,2.39,6.21,Transilien,Toulouse,800,5,350,6.0,7.38,1.32,1.24,6.55,RATP_Open_Data_2024
2024-08-23 00:00:00,5.02,3.98,TGV,Paris,50,350,5,1.86,3.38,3.13,4.0,3.87,Airparif
2024-03-26 00:00:00,1.85,3.11,TER,Montpellier,50,50,5,5.19,3.63,2.06,3.99,1.24,Airparif
2024-02-17 00:00:00,2.72,7.64,Transilien,Marseille,800,5,120,4.38,6.72,1.71,4.32,2.98,SNCF_Open_Data
2024-06-06 00:00:00,6.76,7.42,Transilien,Nice,350,120,120,5.48,2.5,2.96,2.97,8.72,Météo-France
2024-03-19 00:00:00,7.24,8.23,RER,Nantes,50,350,800,1.5,4.09,8.53,5.01,3.6,SNCF_Open_Data
2024-10-19 00:00:00,5.14,5.17,TER,Marseille,50,800,50,6.87,1.22,5.66,2.08,5.17,Météo-France
2024-08-12 00:00:00,8.19,6.62,TER,Nantes,800,350,800,4.24,3.26,2.63,7.27,1.62,SNCF_Open_Data
2024-08-22 00:00:00,6.98,2.52,Transilien,Marseille,5,5,800,6.58,6.56,3.89,7.84,2.69,RATP_Open_Data_2024
2024-04-29 00:00:00,3.77,4.12,Bus RATP,Toulouse,50,350,50,7.62,1.73,4.46,5.57,7.72,Data.gouv.fr
2024-12-06 00:00:00,2.03,8.04,Métro,Montpellier,800,120,5,5.77,6.4,2.47,5.07,1.57,Météo-France
2024-04-21 00:00:00,8.42,8.5,Bus RATP,Nantes,350,5,50,1.53,6.24,8.79,7.58,2.15,Airparif
2024-09-02 00:00:00,4.68,7.34,Métro,Toulouse,120,800,120,2.87,6.03,4.87,7.19,7.06,Data.gouv.fr
2024-10-27 00:00:00,7.82,2.17,Tramway,Nice,350,120,800,1.7,7.59,5.39,4.21,7.02,Météo-France
2024-08-29 00:00:00,7.04,1.9,TGV,Montpellier,5,50,50,8.77,4.12,5.98,4.95,3.74,Data.gouv.fr
2024-07-27 00:00:00,4.22,5.49,RER,Bordeaux,50,350,120,6.63,7.27,6.03,3.01,4.87,SNCF_Open_Data
2024-08-02 00:00:00,8.65,2.36,Tramway,Marseille,120,350,800,1.74,2.05,6.35,5.51,5.23,SNCF_Open_Data
2024-11-12 00:00:00,2.62,4.3,TER,Marseille,50,350,800,4.5,7.48,3.1,7.55,2.3,SNCF_Open_Data
2024-07-21 00:00:00,6.94,4.05,RER,Strasbourg,800,120,120,3.65,3.13,2.05,2.17,8.51,Airparif
2024-07-24 00:00:00,3.27,2.0,Métro,Paris,350,50,5,7.12,7.69,4.25,4.07,7.16,Airparif
2024-06-10 00:00:00,5.76,7.89,TGV,Nice,50,120,5,2.93,4.1,8.2,5.54,3.04,Data.gouv.fr
2024-02-20 00:00:00,6.43,8.33,Métro,Nantes,5,50,120,6.12,3.44,6.81,3.89,2.34,Météo-France
2024-08-06 00:00:00,6.71,5.85,RER,Nantes,350,350,120,6.42,7.58,2.91,6.19,7.26,SNCF_Open_Data
2024-09-06 00:00:00,7.91,2.8,TER,Lyon,350,50,800,8.55,3.22,1.58,8.66,2.21,Airparif
2024-05-01 00:00:00,7.55,7.52,RER,Nice,350,5,120,6.3,4.81,3.11,6.14,2.08,Airparif
2024-08-15 00:00:00,4.28,5.62,TER,Montpellier,5,50,5,6.07,3.14,3.29,1.84,5.31,SNCF_Open_Data
2024-03-23 00:00:00,2.25,5.26,Métro,Lille,800,800,350,8.0,7.22,1.38,6.48,6.05,Météo-France
2024-11-15 00:00:00,6.2,7.35,Tramway,Marseille,800,800,50,1.48,1.73,5.43,7.42,8.16,Airparif
2024-09-08 00:00:00,4.47,2.08,Bus RATP,Montpellier,350,5,800,5.0,6.2,3.91,2.04,3.82,SNCF_Open_Data
2024-11-13 00:00:00,6.77,5.81,Bus RATP,Strasbourg,5,800,120,1.35,8.06,3.07,3.16,7.82,RATP_Open_Data_2024
2024-03-29 00:00:00,8.66,1.36,TER,Strasbourg,350,800,5,5.92,5.92,4.29,1.31,4.4,Airparif
2024-07-25 00:00:00,5.97,2.32,Bus RATP,Montpellier,350,5,800,2.11,1.26,7.08,1.88,7.97,Airparif
2024-07-29 00:00:00,1.55,2.22,Tramway,Bordeaux,5,50,120,6.04,5.09,7.47,5.89,3.29,RATP_Open_Data_2024
2024-06-14 00:00:00,8.76,3.68,RER,Paris,5,350,50,2.91,6.44,7.05,2.66,2.26,RATP_Open_Data_2024
2024-10-04 00:00:00,6.4,6.18,Transilien,Toulouse,50,5,5,6.46,4.2,8.19,1.36,4.67,Météo-France
2024-06-05 00:00:00,1.8,8.32,RER,Bordeaux,800,120,120,3.79,7.6,5.22,8.7,5.41,SNCF_Open_Data
2024-02-25 00:00:00,1.28,3.17,TER,Lille,50,50,350,5.52,8.47,4.77,7.12,2.18,Airparif
2024-02-25 00:00:00,5.31,3.96,TER,Toulouse,50,350,50,5.23,4.79,3.79,2.71,6.0,SNCF_Open_Data
2024-07-27 00:00:00,6.67,7.93,Tramway,Nice,800,800,50,7.35,8.69,8.62,7.17,8.03,Météo-France
2024-01-06 00:00:00,1.41,3.31,TER,Marseille,5,350,350,4.17,6.24,3.35,2.24,5.77,Airparif
2024-08-31 00:00:00,3.67,1.28,Métro,Nice,50,5,120,1.31,8.47,8.6,2.33,3.74,Data.gouv.fr
2024-11-11 00:00:00,4.57,3.4,Tramway,Toulouse,800,120,5,8.04,4.94,2.49,1.45,2.05,Data.gouv.fr
2024-10-31 00:00:00,2.17,2.54,Tramway,Marseille,120,800,800,5.71,6.9,7.51,3.33,8.61,RATP_Open_Data_2024
2024-09-23 00:00:00,4.11,4.34,Métro,Nantes,50,5,5,8.77,7.54,6.41,7.87,4.11,Data.gouv.fr
2024-09-11 00:00:00,5.78,1.72,Transilien,Lyon,50,120,120,1.32,6.35,4.03,5.64,4.63,Airparif
2024-03-28 00:00:00,7.75,2.4,TER,Strasbourg,50,800,5,6.54,5.54,8.75,5.05,3.76,Airparif
2024-07-13 00:00:00,1.35,8.54,TER,Nantes,800,800,120,5.64,4.14,4.11,3.41,4.99,Météo-France
2024-04-22 00:00:00,7.42,2.55,Tramway,Paris,120,5,5,5.2,7.79,5.28,4.56,5.72,Météo-France
2024-12-08 00:00:00,1.4,2.02,Tramway,Marseille,5,5,800,2.7,4.05,7.01,5.83,4.55,Airparif
2024-03-11 00:00:00,8.28,5.76,Bus RATP,Marseille,50,350,120,4.9,5.54,2.76,6.79,4.48,Airparif
2024-03-05 00:00:00,1.48,1.47,TGV,Lille,5,350,800,3.39,6.92,6.37,1.58,5.59,SNCF_Open_Data
2024-04-08 00:00:00,4.23,1.95,Tramway,Paris,120,350,350,3.69,5.79,6.24,1.57,8.61,SNCF_Open_Data
2024-07-15 00:00:00,5.64,6.35,TGV,Toulouse,350,120,800,5.26,5.81,6.83,6.83,7.14,Météo-France
2024-08-03 00:00:00,6.98,6.51,RER,Marseille,350,350,5,7.94,5.05,3.09,8.45,6.45,Airparif
2024-11-25 00:00:00,6.54,2.49,Bus RATP,Paris,5,50,120,7.93,4.5,7.84,8.39,2.83,Météo-France
2024-04-04 00:00:00,8.74,4.4,RER,Montpellier,120,800,800,7.02,4.14,5.14,6.41,5.02,Météo-France
2024-05-10 00:00:00,6.28,3.72,Transilien,Bordeaux,50,5,120,8.35,4.85,6.91,1.69,4.08,SNCF_Open_Data
2024-10-14 00:00:00,8.41,4.91,Tramway,Nantes,5,800,50,7.17,1.68,8.23,2.14,4.5,Météo-France
2024-08-31 00:00:00,3.51,4.03,TER,Montpellier,120,5,5,1.3,4.44,4.28,5.96,8.67,SNCF_Open_Data
2024-09-02 00:00:00,6.08,4.79,Bus RATP,Strasbourg,50,5,5,2.16,3.29,7.81,7.8,8.66,Météo-France
2024-12-16 00:00:00,4.75,6.25,Métro,Marseille,800,120,120,4.07,2.06,3.76,2.85,7.62,SNCF_Open_Data
2024-02-03 00:00:00,3.91,6.96,Tramway,Strasbourg,800,5,50,7.22,1.77,8.67,7.0,7.83,RATP_Open_Data_2024
2024-08-05 00:00:00,5.62,3.47,Transilien,Bordeaux,120,120,800,6.24,2.84,5.21,6.08,2.93,SNCF_Open_Data
2024-03-30 00:00:00,1.61,2.67,Bus RATP,Nantes,800,120,120,5.28,6.16,7.29,3.37,6.0,Data.gouv.fr
2024-05-05 00:00:00,7.66,1.9,RER,Nice,50,120,5,6.76,8.29,2.94,8.07,6.89,Airparif
2024-01-10 00:00:00,2.63,7.16,Tramway,Bordeaux,800,120,50,8.38,6.82,6.54,1.43,2.61,Airparif
2024-04-11 00:00:00,5.32,6.07,Tramway,Marseille,120,120,800,1.5,7.45,7.49,6.8,5.46,Météo-France
2024-01-25 00:00:00,2.12,6.13,Bus RATP,Nantes,5,5,5,8.14,4.86,3.99,7.99,3.51,Météo-France
2024-10-04 00:00:00,4.94,5.14,RER,Nantes,120,350,350,4.81,7.52,6.56,5.73,3.38,Data.gouv.fr
2024-08-04 00:00:00,2.07,6.63,Transilien,Paris,120,50,800,3.88,1.44,2.61,6.02,8.2,SNCF_Open_Data
2024-09-07 00:00:00,3.3,8.52,Tramway,Paris,350,350,350,1.27,7.52,3.18,1.63,4.98,Météo-France
2024-12-04 00:00:00,4.9,6.94,TGV,Montpellier,350,5,50,1.62,7.66,6.08,2.97,2.08,Météo-France
2024-12-21 00:00:00,4.01,1.59,RER,Toulouse,50,5,800,2.95,5.02,4.83,1.64,4.89,RATP_Open_Data_2024
2024-04-14 00:00:00,6.42,1.22,Tramway,Bordeaux,5,50,50,1.47,3.15,7.28,1.2,7.5,Météo-France
2024-10-29 00:00:00,3.73,6.55,TER,Bordeaux,800,800,50,2.1,2.96,8.59,6.49,6.5,Météo-France
2024-03-01 00:00:00,7.51,6.96,Métro,Paris,120,800,800,5.77,1.2,4.39,3.55,4.62,SNCF_Open_Data
2024-03-13 00:00:00,6.36,7.8,TER,Strasbourg,800,5,120,3.23,3.45,1.61,8.6,8.37,SNCF_Open_Data
2024-03-17 00:00:00,5.92,3.09,Tramway,Bordeaux,350,350,50,8.38,4.63,5.05,6.22,6.64,SNCF_Open_Data
2024-07-01 00:00:00,7.6,2.97,RER,Toulouse,800,800,800,6.36,6.5,3.96,8.78,3.57,Airparif
2024-07-18 00:00:00,6.2,2.09,Bus RATP,Lille,50,120,350,7.81,5.07,5.76,8.43,1.44,Météo-France
2024-01-13 00:00:00,1.6,7.64,Tramway,Lyon,50,5,120,7.37,7.4,2.34,7.55,5.23,SNCF_Open_Data
2024-10-22 00:00:00,2.71,3.55,Tramway,Marseille,5,350,50,2.48,3.54,1.96,4.04,3.01,Airparif
2024-06-14 00:00:00,8.25,3.27,Bus RATP,Lyon,5,350,350,8.54,7.92,2.37,2.92,5.98,Météo-France
2024-07-14 00:00:00,7.81,3.32,TGV,Nantes,800,120,350,3.9,4.86,3.57,1.46,2.29,Météo-France
2024-07-13 00:00:00,5.18,1.25,RER,Nice,800,5,800,7.15,3.07,2.45,4.54,1.96,Data.gouv.fr
2024-01-25 00:00:00,3.01,3.7,RER,Strasbourg,50,800,800,1.23,6.57,6.95,3.02,2.67,RATP_Open_Data_2024
2024-06-01 00:00:00,1.96,8.43,TGV,Strasbourg,350,5,5,5.93,8.46,1.71,2.84,6.47,RATP_Open_Data_2024
2024-02-19 00:00:00,5.59,8.72,TGV,Nantes,800,5,50,1.71,1.29,4.21,2.05,1.57,RATP_Open_Data_2024
2024-04-16 00:00:00,7.57,1.32,TGV,Nantes,350,5,50,7.65,5.36,1.77,5.35,5.33,Airparif
2024-05-08 00:00:00,6.23,4.55,RER,Paris,350,120,120,2.28,1.28,6.2,1.75,6.15,Data.gouv.fr
2024-11-01 00:00:00,5.3,1.33,Bus RATP,Bordeaux,800,800,50,1.82,5.68,7.5,5.23,2.49,Airparif
2024-09-26 00:00:00,2.34,3.59,RER,Paris,350,50,120,5.09,5.72,1.51,7.79,6.84,Météo-France
2024-12-24 00:00:00,8.42,6.71,Bus RATP,Lyon,350,800,120,5.47,5.03,1.89,6.52,1.71,SNCF_Open_Data
2024-06-06 00:00:00,6.23,2.87,TER,Toulouse,350,800,5,7.43,3.61,1.41,5.4,2.58,Airparif
2024-05-13 00:00:00,7.34,6.99,TER,Nantes,350,350,5,6.25,2.87,4.17,1.99,5.9,Data.gouv.fr
2024-08-29 00:00:00,6.27,5.29,RER,Montpellier,800,120,50,2.29,7.02,5.83,1.63,5.07,Météo-France
2024-07-30 00:00:00,6.96,5.65,Tramway,Nice,800,50,5,8.02,2.35,4.75,1.47,1.75,SNCF_Open_Data
2024-03-21 00:00:00,4.79,5.72,RER,Montpellier,800,800,5,2.84,7.66,3.28,7.36,2.07,RATP_Open_Data_2024
2024-05-20 00:00:00,3.52,5.6,RER,Paris,50,5,5,7.67,7.41,2.05,3.14,1.68,Airparif
2024-02-26 00:00:00,4.08,2.12,Transilien,Lille,5,5,5,6.94,8.16,3.93,7.57,7.38,Data.gouv.fr
2024-05-21 00:00:00,2.57,5.64,TGV,Lyon,5,800,350,7.77,4.49,7.15,3.08,5.97,Airparif
2024-08-11 00:00:00,3.58,7.42,TGV,Lille,50,120,800,8.34,4.84,6.85,2.76,3.79,SNCF_Open_Data
2024-02-25 00:00:00,4.0,6.53,Bus RATP,Paris,800,350,800,3.5,4.44,2.79,3.34,3.06,Data.gouv.fr
2024-12-08 00:00:00,7.69,5.16,Transilien,Lille,800,5,50,8.48,4.46,2.09,7.92,7.44,Météo-France
2024-07-22 00:00:00,8.6,6.47,TER,Nice,350,800,800,5.29,3.39,7.95,2.91,3.4,Airparif
2024-06-04 00:00:00,5.23,2.47,Métro,Lyon,5,50,800,2.95,8.64,5.8,6.32,3.27,Airparif
2024-05-18 00:00:00,7.02,1.76,TGV,Nantes,120,5,350,6.26,5.24,1.45,8.45,8.27,Airparif
2024-11-02 00:00:00,7.9,5.64,TGV,Toulouse,50,5,5,2.79,3.63,2.49,5.11,7.14,Météo-France
2024-11-20 00:00:00,2.72,8.6,Métro,Nice,50,5,800,2.55,2.79,5.35,1.35,5.02,Data.gouv.fr
2024-09-30 00:00:00,3.08,4.85,TGV,Strasbourg,800,350,5,3.48,3.49,8.72,4.11,7.05,Météo-France
2024-04-02 00:00:00,2.43,1.74,Transilien,Montpellier,120,5,5,5.42,3.09,3.01,8.61,8.67,Météo-France
2024-06-01 00:00:00,5.36,6.76,RER,Marseille,50,5,800,5.19,3.03,2.02,4.96,3.14,RATP_Open_Data_2024
2024-05-08 00:00:00,8.45,3.33,TER,Lyon,800,5,120,3.26,7.53,2.9,2.72,8.18,SNCF_Open_Data
2024-10-02 00:00:00,8.6,1.8,TER,Marseille,350,120,120,3.82,3.26,8.17,1.32,1.85,Météo-France
2024-12-21 00:00:00,8.1,2.57,Tramway,Toulouse,350,5,50,7.32,7.33,5.97,6.99,6.8,Météo-France
2024-11-11 00:00:00,3.74,4.42,RER,Marseille,120,5,5,5.99,4.24,7.0,6.69,4.2,Airparif
2024-06-29 00:00:00,4.57,7.63,Bus RATP,Nantes,120,120,50,2.72,5.27,6.51,7.5,6.42,Data.gouv.fr
2024-03-18 00:00:00,2.68,5.87,Bus RATP,Nice,50,120,120,3.36,2.96,4.21,8.26,3.15,Airparif
2024-08-05 00:00:00,2.09,3.82,TER,Strasbourg,5,50,800,5.93,2.64,7.41,2.16,8.5,RATP_Open_Data_2024
2024-10-02 00:00:00,6.49,3.73,TER,Lille,350,350,120,7.28,2.68,3.65,4.06,2.31,Airparif
2024-12-09 00:00:00,6.3,4.43,TGV,Nice,800,350,5,6.83,4.21,6.8,4.34,3.22,Airparif
2024-06-27 00:00:00,1.48,4.34,Bus RATP,Lille,800,120,5,2.72,4.5,1.22,4.25,1.22,SNCF_Open_Data
2024-06-22 00:00:00,1.81,3.4,RER,Toulouse,50,350,5,4.31,2.5,6.23,6.62,3.23,Météo-France
2024-10-13 00:00:00,4.58,6.43,RER,Lyon,5,120,350,7.76,2.5,3.97,8.53,3.71,SNCF_Open_Data
2024-10-01 00:00:00,3.24,6.39,Transilien,Strasbourg,5,800,800,5.09,1.43,3.13,5.05,2.23,RATP_Open_Data_2024
2024-02-26 00:00:00,3.36,4.85,Transilien,Lille,800,800,5,5.06,4.84,8.31,3.03,7.42,Airparif
2024-01-27 00:00:00,4.51,7.12,TER,Paris,800,5,350,5.5,5.45,6.85,6.39,4.69,Météo-France
2024-03-17 00:00:00,5.95,6.69,Bus RATP,Strasbourg,5,5,120,6.58,3.92,4.14,6.93,2.69,Météo-France
2024-10-09 00:00:00,7.14,8.07,RER,Marseille,800,120,5,4.69,4.74,4.13,7.21,7.68,Airparif
2024-12-26 00:00:00,8.11,8.06,Bus RATP,Bordeaux,50,120,50,5.62,5.83,6.67,1.49,2.27,Airparif
2024-12-22 00:00:00,1.7,2.89,Tramway,Lille,800,120,350,5.95,6.81,7.44,3.32,3.46,RATP_Open_Data_2024
2024-03-28 00:00:00,2.25,7.83,TER,Toulouse,800,120,800,5.28,8.39,8.64,5.62,6.14,Airparif
2024-07-17 00:00:00,7.87,3.19,Métro,Nantes,350,800,120,8.4,2.43,6.31,5.22,3.61,SNCF_Open_Data
2024-10-24 00:00:00,7.96,4.65,Transilien,Montpellier,5,120,120,7.86,6.2,7.12,6.75,2.27,Météo-France
2024-03-31 00:00:00,5.07,6.52,RER,Strasbourg,120,350,5,1.97,3.9,6.42,3.62,4.05,Airparif
2024-03-10 00:00:00,4.7,3.88,TGV,Toulouse,5,350,120,8.42,4.57,7.53,1.26,5.26,RATP_Open_Data_2024
2024-10-15 00:00:00,7.04,7.79,Bus RATP,Marseille,50,800,800,3.02,3.0,3.76,7.72,5.81,SNCF_Open_Data
2024-07-05 00:00:00,8.72,1.8,RER,Bordeaux,5,800,50,3.5,8.34,8.18,6.82,5.03,Data.gouv.fr
2024-07-15 00:00:00,1.69,3.86,TGV,Montpellier,50,800,800,2.21,2.55,4.47,6.85,2.32,Météo-France
2024-10-13 00:00:00,1.26,8.66,RER,Strasbourg,120,120,50,2.61,4.13,5.33,4.47,1.63,Météo-France
2024-04-16 00:00:00,7.8,7.72,Bus RATP,Marseille,50,5,120,3.62,8.41,2.89,2.66,4.93,Airparif
2024-11-06 00:00:00,8.37,3.52,TER,Nantes,350,5,120,6.64,3.94,6.46,4.82,1.26,Météo-France
2024-08-23 00:00:00,2.76,7.19,TGV,Bordeaux,50,5,5,7.08,7.72,1.25,2.92,6.63,RATP_Open_Data_2024
2024-06-01 00:00:00,6.27,7.55,Bus RATP,Toulouse,120,800,120,1.4,3.74,5.62,7.54,8.3,RATP_Open_Data_2024
2024-08-03 00:00:00,2.43,5.27,TER,Nice,5,120,5,8.79,2.21,6.44,6.05,1.65,RATP_Open_Data_2024
2024-08-13 00:00:00,5.1,8.45,Bus RATP,Paris,350,50,120,3.87,1.56,4.08,4.21,1.73,Météo-France
2024-09-21 00:00:00,7.46,2.2,Transilien,Paris,800,5,5,1.42,2.9,7.76,3.65,4.95,SNCF_Open_Data
2024-10-12 00:00:00,7.89,3.14,RER,Toulouse,120,350,50,8.68,5.67,4.89,3.97,8.47,SNCF_Open_Data
2024-06-12 00:00:00,3.68,2.3,TER,Bordeaux,50,350,50,6.4,8.3,1.2,5.28,2.95,SNCF_Open_Data
2024-09-13 00:00:00,3.3,5.79,RER,Marseille,5,120,800,5.76,5.39,1.39,5.27,2.84,SNCF_Open_Data
2024-11-18 00:00:00,7.09,8.08,RER,Montpellier,350,350,120,6.55,2.54,8.66,6.48,7.28,Data.gouv.fr
2024-04-28 00:00:00,1.24,4.16,TER,Bordeaux,5,5,5,5.95,6.98,6.83,2.64,3.43,RATP_Open_Data_2024
2024-04-18 00:00:00,5.59,7.78,RER,Nantes,50,5,350,4.94,8.38,3.65,2.33,6.0,Météo-France
2024-10-27 00:00:00,5.67,8.25,TER,Strasbourg,350,120,5,7.45,4.88,8.5,4.2,5.32,RATP_Open_Data_2024
2024-08-04 00:00:00,1.7,7.37,TER,Strasbourg,5,120,350,5.91,4.99,2.71,6.68,7.17,RATP_Open_Data_2024
2024-03-22 00:00:00,6.06,4.59,TER,Marseille,350,50,50,3.72,6.17,2.45,2.1,6.27,SNCF_Open_Data
2024-04-03 00:00:00,6.81,2.54,Transilien,Bordeaux,800,120,350,4.64,8.09,6.23,5.77,8.52,Airparif
2024-01-12 00:00:00,4.14,5.74,Transilien,Lyon,50,50,800,6.4,7.45,5.63,6.47,8.34,RATP_Open_Data_2024
2024-08-30 00:00:00,4.82,5.09,Tramway,Nantes,120,350,50,3.97,7.34,1.82,6.49,4.5,RATP_Open_Data_2024
2024-04-20 00:00:00,2.79,1.55,Transilien,Montpellier,350,50,350,5.2,3.13,5.5,3.95,4.02,Météo-France
2024-09-18 00:00:00,1.23,6.05,TER,Marseille,5,120,50,6.05,4.12,1.22,4.68,3.18,Météo-France
2024-10-05 00:00:00,7.5,8.67,Transilien,Marseille,5,350,5,4.56,1.33,3.25,6.42,1.87,RATP_Open_Data_2024
2024-01-14 00:00:00,6.49,1.75,TGV,Montpellier,120,800,800,2.77,5.57,4.59,6.95,8.38,Météo-France
2024-07-18 00:00:00,6.03,6.32,Transilien,Nantes,120,50,120,8.68,6.96,8.4,5.15,2.36,RATP_Open_Data_2024
2024-06-23 00:00:00,5.28,5.78,TGV,Nice,50,5,800,4.16,4.75,7.46,3.47,5.66,SNCF_Open_Data
2024-07-30 00:00:00,1.54,5.66,RER,Toulouse,350,120,50,4.29,5.24,3.89,3.51,8.32,RATP_Open_Data_2024
2024-04-02 00:00:00,7.65,2.42,Métro,Strasbourg,120,350,350,4.31,5.22,6.64,4.19,2.85,Airparif
2024-07-08 00:00:00,6.35,1.66,Tramway,Marseille,5,800,50,7.8,7.68,7.96,2.65,8.12,SNCF_Open_Data
2024-04-24 00:00:00,7.56,2.32,Tramway,Strasbourg,120,120,5,6.23,8.57,1.32,5.72,4.3,Airparif
2024-04-07 00:00:00,5.13,7.52,TGV,Toulouse,800,120,350,6.34,4.89,5.0,7.06,5.12,Airparif
